SampleID,Species,Museum,Prep/Tissue Number,Museum.Number,State,Latitude,Longitude
AK1,Selasphorus rufus,UAM,RWD24097,7468,AK,55.311526,-131.569996
AK10,Selasphorus rufus,UAM,ABJ651,15394,AK,55.331,-131.619
AK11,Selasphorus rufus,UAM,UAMX178,9977,AK,55.331,-131.619
AK12,Selasphorus rufus,UAM,ABJ103,13100,AK,55.331,-131.619
AK2,Selasphorus rufus,UAM,JJW1573,30194,AK,59.904027,-141.325772
AK3,Selasphorus rufus,UAM,RWD24014,7469,AK,58.3449,-134.555
AK4,Selasphorus rufus,UAM,UAMX2175,13891,AK,55.331,-131.619
AK5,Selasphorus rufus,UAM,UAMX2174,13896,AK,55.331,-131.619
AK6,Selasphorus rufus,UAM,UAMX2173,13895,AK,55.331,-131.619
AK7,Selasphorus rufus,UAM,UAMX4263,22246,AK,59.2327,-135.4642
AK8,Selasphorus rufus,UAM,JJW877,27373,AK,58.3449,-134.555
AK9,Selasphorus rufus,UAM,JJW1158,20383,AK,55.331,-131.619
AZ1,Selasphorus rufus,UWBM,RBB794,87082,AZ,32.2217429,-110.926479
AZ2,Selasphorus rufus,UWBM,CEC500,119790,AZ,31.3804,-110.228006
CA1,Selasphorus rufus,UWBM,RBB479,86827,CA,38.5349064,-121.754406
CA10,Selasphorus rufus,LSU,SWC7652,B-30336,CA,34.8196065,-119.0973312
CA11,Selasphorus rufus,LSU,SWC7653,B-30337,CA,34.8196065,-119.0973312
CA12,Selasphorus rufus,LSU,DLD6758,B-30514,CA,34.172124,-116.7252076
CA13,Selasphorus rufus,LSU,EAC7798,B-41970,CA,34.172124,-116.7252076
CA14,Selasphorus rufus,LSU,EAC7823,B-41998,CA,34.172124,-116.7252076
CA15,Selasphorus rufus,LSU,EAC9383,B-51775,CA,34.2234454,-116.7501176
CA16,Selasphorus rufus,LSU,EAC9412,B-51804,CA,34.2234454,-116.7501176
CA17,Selasphorus rufus,LSU,EAC9413,B-51805,CA,34.2234454,-116.7501176
CA2,Selasphorus rufus,LSU,EAC3105,B-19499,CA,35.0086161,-117.2841461
CA3,Selasphorus rufus,LSU,,B-19500,CA,35.0086161,-117.2841461
CA4,Selasphorus rufus,LSU,EAC310?,B-19514,CA,35.0086161,-117.2841461
CA5,Selasphorus rufus,LSU,EAC3108,B-19515,CA,35.0086161,-117.2841461
CA6,Selasphorus rufus,LSU,EAC7470,B-24253,CA,34.6022661,-117.5790937
CA7,Selasphorus rufus,LSU,DLD4794,B-25054,CA,34.9715769,-115.5719762
CA8,Selasphorus rufus,LSU,SWC7647,B-30331,CA,34.8196065,-119.0973312
CA9,Selasphorus rufus,LSU,SWC7651,B-30335,CA,34.8196065,-119.0973312
MT1,Selasphorus rufus,UWBM,CJB081,121823,MT,47.86259,-113.84188
MT2,Selasphorus rufus,UWBM,CJB082,122331,MT,47.86259,-113.84188
MT3,Selasphorus rufus,UWBM,CJB083,121824,MT,47.86259,-113.84188
MT4,Selasphorus rufus,UWBM,CJB085,122330,MT,47.86259,-113.84188
MT5,Selasphorus rufus,UWBM,CJB087,121825,MT,47.86259,-113.84188
NM1,Selasphorus rufus,MSB,116031,23795,NM,35.768637,-106.6922
NM10,Selasphorus rufus,MSB,221743,40230,NM,31.91,-109.14
NM2,Selasphorus rufus,MSB,142268,25453,NM,35.87587,-106.32894
NM3,Selasphorus rufus,MSB,169609,26896,NM,35.150637,-108.2111
NM4,Selasphorus rufus,MSB,170948,29562,NM,35.88905,-106.28723
NM5,Selasphorus rufus,MSB,170952,29566,NM,35.89,-105.98
NM6,Selasphorus rufus,MSB,173138,29844,NM,33.9928,-107.144
NM7,Selasphorus rufus,MSB,174757,30838,NM,35.77,-106.69
NM8,Selasphorus rufus,MSB,174808,30908,NM,35.0904,-106.5922
NM9,Selasphorus rufus,MSB,218283,39413,NM,35.13,-106.68
OR1,Selasphorus rufus,UWBM,TNL183,91462,OR,44.0537,-121.3136
OR10,Selasphorus rufus,UWBM,CSW6067,64429,OR,43.3453976,-122.0905514
OR11,Selasphorus rufus,UWBM,CEC685,120043,OR,46.024274,-123.91125
OR12,Selasphorus rufus,UWBM,BTS06279,100539,OR,42.3037,-123.781427
OR13,Selasphorus rufus,UWBM,BTS06275,100534,OR,43.245,-124.12
OR14,Selasphorus rufus,UWBM,BTS06280,100540,OR,42.3037,-123.781427
OR15,Selasphorus rufus,UWBM,BTS06281,100541,OR,43.245,-124.12
OR16,Selasphorus rufus,UWBM,BTS06282,100542,OR,42.3037,-123.781427
OR17,Selasphorus rufus,UWBM,BTS06286,100546,OR,42.3037,-123.781427
OR18,Selasphorus rufus,UWBM,CJB088,121827,OR,43.245,-124.0455273
OR19,Selasphorus rufus,UWBM,CJB089,121828,OR,42.3031921,-124.0455273
OR2,Selasphorus rufus,UWBM,SMB101,64552,OR,43.3453976,-122.0905514
OR20,Selasphorus rufus,UWBM,CJB090,121829,OR,42.3031921,-124.0455273
OR3,Selasphorus rufus,UWBM,JK06 824,112781,OR,43.78,-124.015
OR4,Selasphorus rufus,UWBM,GKD595,79617,OR,45.6598376,-122.8634358
OR5,Selasphorus rufus,UWBM,GHL034,86050,OR,45.758182,-122.8834534
OR6,Selasphorus rufus,UWBM,BTS06277,100537,OR,42.3037,-123.781427
OR7,Selasphorus rufus,UWBM,BTS06278,100538,OR,43.245,-124.12
OR8,Selasphorus rufus,UWBM,BTS06276,100535,OR,43.245,-124.12
OR9,Selasphorus rufus,UWBM,CEC686,119823,OR,45.2023,-123.9629
S.cal1,Selasphorus calliope,UWBM,CSW7612,90538,WA,47.015392,-120.694
S.cal2,Selasphorus calliope,UWBM,CEC602,119809,NM,35.082329,-106.8169074
S.cal3,Selasphorus calliope,UWBM,CJB091,121830,WA,45.125,-116.4793333
S.cal4,Selasphorus calliope,MVZ,,183560,CA,37.53286,-118.157316
