SampleID,Species,Museum,Museum Number,Latitude,Longitude,Sex
WA35,Selasphorus rufus,UWBM,64429,43.3453976,-122.0905514,male
WA36,Selasphorus rufus,UWBM,64552,43.3453976,-122.0905514,male
OR2,Selasphorus rufus,UWBM,54058,48.34,-117.14,male
OR10,Selasphorus rufus,UWBM,54064,48.37,-117.19,male
WA22,Selasphorus rufus,UWBM,86002,47.6939869,-122.3229051,male
WA31,Selasphorus rufus,UWBM,86027,47.795999,-122.659003,male
AK1,Selasphorus rufus,UAM,7468,55.311526,-131.569996,female
AK3,Selasphorus rufus,UAM,7469,58.3449,-134.555,male
S.sasin4,Selasphorus sasin sasin,MVZ,182025,37.68127,-121.755962,female
S.sasin7,Selasphorus sasin sasin,MVZ,183714,37.889606,-122.318817,male
S.sasin9,Selasphorus sasin sasin,MVZ,183713,37.889606,-122.318817,male
S.sasin10,Selasphorus sasin sasin,MVZ,180045,37.86556667,-122.1520167,female
S.sasin2,Selasphorus sasin sedentarius,MVZ,183554,33.996057,-119.72513,male
S.sasin5,Selasphorus sasin sedentarius,MVZ,183549,33.996057,-119.72513,male
S.sasin6,Selasphorus sasin sedentarius,MVZ,183551,33.996057,-119.72513,male
S.sasin11,Selasphorus sasin sedentarius,MVZ,183552,33.996057,-119.72513,male
S.cal1,Selasphorus calliope,UWBM,90538,47.014335,-120.6626963,female
S.cal3,Selasphorus calliope,UWBM,pending,45.125,-116.4793333,female
S.cal5,Selasphorus calliope,MVZ,182181,40.565523,-120.756963,male
S.cal7,Selasphorus calliope,MVZ,182361,40.34428,-121.43301,female
UT1,Selasphorus rufus,UWBM,114234,36.6775,-113.0611,male
UT2,Selasphorus rufus,UWBM,111649,37.6775,-113.061167,male
UT3,Selasphorus rufus,UWBM,99309,37.842,-112.828,male
AZ1,Selasphorus rufus,UWBM,87082,32.2217429,-110.926479,female
AZ2,Selasphorus rufus,UWBM,119790,31.3804,-110.228006,male
NM1,Selasphorus rufus,MSB,23795,35.768637,-106.6922,male
NM2,Selasphorus rufus,MSB,25453,35.87587,-106.32894,female
NM3,Selasphorus rufus,MSB,26896,35.150637,-108.2111,male
NM4,Selasphorus rufus,MSB,29562,35.88905,-106.28723,male
NM5,Selasphorus rufus,MSB,29566,35.89,-105.98,male
NM6,Selasphorus rufus,MSB,29844,33.9928,-107.144,male
NM7,Selasphorus rufus,MSB,30838,35.77,-106.69,male
NM8,Selasphorus rufus,MSB,30908,35.0904,-106.5922,male
CA10,Selasphorus rufus,LSU,B-30336,34.8196065,-119.0973312,female
CA19,Selasphorus rufus,MVZ,182183,40.565523,-120.756963,male
CA21,Selasphorus rufus,MVZ,183710,39.433192,-120.260981,male
CA22,Selasphorus rufus,MVZ,183712,39.433192,-120.260981,male
CA5,Selasphorus rufus,LSU,B-19515,35.0086161,-117.2841461,male
CA6,Selasphorus rufus,LSU,B-24253,34.6022661,-117.5790937,male
CA33,Selasphorus rufus,MVZ,182363,40.36979,-121.537483,female
CA15,Selasphorus rufus,LSU,B-51775,34.2234454,-116.7501176,female
S.cal2,Selasphorus calliope,UWBM,119809,35.082329,-106.8169074,male
S.cal4,Selasphorus calliope,MVZ,183560,37.53286,-118.157316,female
S.cal6,Selasphorus calliope,MVZ,182180,40.6661,-120.83662,male
